Request Number,142.254.184.77 Latency (ms),76.167.17.73 Latency (ms),72.129.2.118 Latency (ms)
661.0,9.49,39.8,12.8
662.0,10.1,33.6,15.7
663.0,10.8,29.2,15.4
664.0,9.73,54.2,18.6
665.0,12.2,23.1,19.6
666.0,12.5,22.7,14.1
667.0,14.8,30.9,15.1
668.0,14.5,28.4,17.2
669.0,9.35,21.0,22.6
670.0,9.87,23.5,18.6
671.0,13.7,20.9,14.0
672.0,15.5,29.3,21.0
673.0,13.3,40.0,18.7
674.0,10.6,32.0,14.7
675.0,11.1,22.4,15.5
676.0,9.35,113.0,14.0
677.0,15.6,27.4,11.3
678.0,9.07,25.7,15.1
679.0,9.42,30.4,18.0
680.0,9.15,21.3,18.8
681.0,9.0,27.8,14.4
682.0,18.7,32.0,16.7
683.0,9.52,24.4,18.7
684.0,11.1,30.7,18.4
685.0,9.23,29.6,18.2
686.0,9.85,25.3,19.1
687.0,9.25,29.1,18.0
688.0,8.84,27.6,17.4
689.0,13.4,29.0,13.3
690.0,11.2,28.4,16.1
691.0,12.5,22.2,17.3
692.0,9.13,25.1,12.4
693.0,9.23,186.0,13.1
694.0,9.54,22.3,16.1
695.0,13.9,23.2,12.4
696.0,11.6,21.8,18.3
697.0,9.1,26.7,13.3
698.0,10.4,26.6,15.6
699.0,9.62,20.7,12.6
700.0,11.4,29.2,14.1
701.0,9.78,22.9,15.9
702.0,9.57,28.2,16.7
703.0,20.4,34.8,21.8
704.0,12.6,24.6,19.6
705.0,9.83,32.1,16.0
706.0,10.1,31.4,14.8
707.0,9.9,25.2,12.7
708.0,11.2,28.2,12.5
709.0,10.5,29.5,14.2
710.0,17.6,17.2,14.3
711.0,10.2,76.4,17.2
712.0,13.7,22.2,20.1
713.0,11.4,35.5,17.1
714.0,11.0,29.0,16.2
715.0,11.7,35.9,15.7
716.0,12.1,28.7,18.5
717.0,12.1,22.6,15.1
718.0,12.4,37.1,22.1
719.0,10.3,32.5,19.9
720.0,10.8,42.4,47.4
721.0,19.3,27.5,15.0
722.0,11.8,28.3,16.0
723.0,9.9,21.1,18.2
724.0,10.5,23.2,23.1
725.0,15.2,134.0,13.2
726.0,10.5,33.3,23.4
727.0,10.1,28.0,12.2
728.0,15.7,33.4,24.0
729.0,10.4,21.5,16.7
730.0,9.42,36.1,17.8
731.0,17.0,15.6,19.3
732.0,17.2,35.3,24.4
733.0,9.53,26.4,12.7
734.0,10.2,38.4,18.1
735.0,10.5,29.7,19.6
736.0,9.2,28.9,12.9
737.0,9.96,27.7,12.6
738.0,10.0,20.8,12.4
739.0,13.8,28.9,13.2
740.0,9.16,25.0,14.3
741.0,19.9,25.8,14.6
742.0,11.2,109.0,11.3
743.0,10.4,53.2,30.5
744.0,15.2,23.4,12.4
745.0,10.4,21.9,20.4
746.0,12.6,29.5,17.4
747.0,9.12,30.9,13.3
748.0,11.8,24.0,10.6
749.0,9.27,29.9,18.0
750.0,10.3,26.8,18.2
751.0,10.3,21.3,14.2
752.0,11.2,23.8,11.4
753.0,11.6,27.9,15.4
754.0,11.1,23.4,18.1
755.0,13.4,27.4,11.8
756.0,9.88,31.1,14.2
757.0,9.42,28.0,17.8
758.0,9.65,108.0,15.5
759.0,10.0,23.2,14.9
760.0,13.7,27.3,15.2
761.0,10.0,23.3,13.7
762.0,14.0,29.4,17.0
763.0,9.81,24.6,15.4
764.0,9.93,35.0,17.4
765.0,9.51,26.2,16.3
766.0,11.1,28.5,16.4
767.0,10.7,24.7,15.4
768.0,9.66,28.8,18.0
769.0,14.6,29.1,10.6
770.0,10.8,23.0,13.7
771.0,14.1,32.7,14.6
772.0,10.3,65.0,17.8
773.0,14.2,32.4,13.7
774.0,13.4,42.1,14.8
775.0,9.24,32.2,13.6
776.0,9.13,29.6,17.0
777.0,9.59,23.1,15.7
778.0,9.07,26.1,15.1
779.0,9.53,30.7,14.8
780.0,11.5,29.9,15.6
781.0,17.5,28.1,15.9
782.0,10.7,28.3,17.6
783.0,10.5,25.5,15.8
784.0,13.9,29.3,18.4
785.0,10.5,25.1,13.4
786.0,13.4,34.6,16.5
787.0,8.5,157.0,15.5
788.0,13.5,50.0,18.1
789.0,17.5,25.4,21.3
790.0,10.3,23.3,16.0
791.0,10.2,25.4,24.2
792.0,12.4,24.7,17.7
793.0,9.87,22.5,12.1
794.0,9.08,21.1,14.9
795.0,11.7,27.6,23.0
796.0,9.24,23.4,13.0
797.0,12.2,35.4,21.4
798.0,13.0,22.1,11.3
799.0,9.72,34.8,17.3
800.0,9.8,26.6,15.5
801.0,16.6,35.1,18.9
802.0,9.8,30.0,14.4
803.0,12.8,21.5,15.9
804.0,15.6,42.9,12.6
805.0,10.2,28.0,19.8
806.0,13.7,21.2,18.2
807.0,13.0,29.5,17.8
808.0,9.42,25.2,17.9
809.0,14.4,26.3,14.3
810.0,10.1,25.1,19.5
811.0,9.36,27.3,14.0
812.0,9.52,22.4,14.3
813.0,16.1,20.1,27.0
814.0,8.6,23.0,20.2
815.0,16.4,27.3,20.7
816.0,11.3,24.7,11.6
817.0,8.99,32.5,23.1
818.0,15.5,26.4,14.5
819.0,9.11,36.4,18.2
820.0,9.86,24.1,14.8
821.0,9.7,131.0,11.8
822.0,13.5,26.5,21.7
823.0,9.96,28.1,15.5
824.0,9.84,35.1,20.1
825.0,9.43,23.1,17.8
826.0,15.6,13.4,18.4
827.0,8.94,22.4,17.4
828.0,8.47,32.8,16.2
829.0,15.2,22.2,11.2
830.0,9.73,20.5,10.9
831.0,10.4,23.3,13.3
832.0,10.5,27.3,16.2
833.0,9.93,31.0,15.1
834.0,16.8,21.8,12.6
835.0,16.9,27.5,19.5
836.0,9.77,36.7,15.2
837.0,12.7,24.8,18.2
838.0,13.0,184.0,11.6
839.0,9.83,26.6,18.9
840.0,9.25,31.0,16.0
841.0,10.5,29.4,15.7
842.0,13.7,28.1,15.7
843.0,13.4,24.6,17.6
844.0,8.09,30.3,18.8
845.0,9.58,30.6,18.2
846.0,10.7,27.8,21.3
847.0,10.3,26.9,22.6
848.0,10.3,25.7,14.0
849.0,9.98,30.1,10.9
850.0,10.7,30.5,12.8
851.0,9.37,26.0,13.4
852.0,10.7,23.9,12.5
853.0,9.3,32.3,18.1
854.0,14.8,31.6,17.1
855.0,10.5,173.0,15.3
856.0,11.3,24.9,15.6
857.0,9.14,26.9,18.0
858.0,13.2,25.0,18.7
859.0,11.9,23.9,18.3
